CANE,"Teucrium Sugar",6.06,0.15,+2.54%,27,0.0%,100.0%,0,09/29/20
MLPA,"Global X MLP ETF",22.35,0.36,+1.64%,27,100.0%,0.0%,0,09/29/20
VO,"Midcap ETF Vanguard",175.22,-1.01,-0.57%,26,7.7%,92.3%,0.083333333333333,09/29/20
ACWI,"ACWI Ishares MSCI ETF",79.56,-0.28,-0.35%,25,8.0%,92.0%,0.08695652173913,09/29/20
SDY,"S&P Dividend SPDR",91.81,-0.82,-0.89%,25,48.0%,52.0%,0.92307692307692,09/29/20
IHI,"US Medical Devices Ishares ETF",294.85,0.51,+0.17%,24,66.7%,33.3%,2,09/29/20
CWB,"Convertible Secs Barclays Capital SPDR",68.73,-0.04,-0.06%,23,0.0%,100.0%,0,09/29/20
TTT,"Ultrapro Short 20+ Year Trsy Proshares",27.62,-0.1,-0.36%,23,8.7%,91.3%,0.095238095238095,09/29/20
SCHF,"Schwab Intl Equity ETF",31.53,-0.06,-0.19%,23,0.0%,100.0%,0,09/29/20
YOLO,"Advisorshares Pure Cannabis ETF",10.76,0.08,+0.75%,22,31.8%,68.2%,0.46666666666667,09/29/20
DGRO,"Dividend Growth Ishares Core ETF",39.46,-0.28,-0.70%,21,61.9%,38.1%,1.625,09/29/20
ZROZ,"25+ Year Zero Cpn U.S. Trsy Idx ETF Pimco",173.82,0.58,+0.33%,21,0.0%,100.0%,0,09/29/20
PSP,"Global Listed Private Equity Invesco ETF",10.86,-0.08,-0.73%,21,100.0%,0.0%,0,09/29/20
EWQ,"France Ishares MSCI ETF",28.07,0.08,+0.29%,21,95.2%,4.8%,20,09/29/20
YCS,"Ultrashort Yen Proshares",71.2,0.23,+0.32%,21,28.6%,71.4%,0.4,09/29/20
EPI,"Wisdomtree India Earnings Fund",23.41,-0.01,-0.04%,21,47.6%,52.4%,0.90909090909091,09/29/20
IDV,"Intl Select Dividend Ishares ETF",24.89,-0.22,-0.88%,21,9.5%,90.5%,0.10526315789474,09/29/20
XSU.TO,"Ishares US Small Cap Index ETF",30.39,-0.07,-0.23%,20,100.0%,0.0%,0,09/29/20
SPYV,"SPDR S&P 500 Value Portfolio ETF",29.93,-0.23,-0.76%,20,10.0%,90.0%,0.11111111111111,09/29/20
PIN,"India Invesco ETF",19.43,-0.03,-0.13%,20,0.0%,100.0%,0,09/29/20
