RDFN,"Redfin Corp",53.56,0.8,+1.52%,3811,54.1%,45.9%,1.1764705882353,10/05/20
UA,"Under Armour Inc Cl C",10.59,0.05,+0.47%,3804,37.6%,62.4%,0.60168421052632,10/05/20
HON,"Honeywell International Inc",168.72,3.11,+1.88%,3786,34.2%,65.8%,0.52048192771084,10/05/20
GIS,"General Mills",62.68,0.16,+0.26%,3782,22.8%,77.2%,0.29476206778501,10/05/20
ETN,"Eaton Corp",105.09,2.44,+2.38%,3776,22.6%,77.4%,0.29226557152635,10/05/20
IMMU,"Immunomedics Inc",85.87,0.79,+0.93%,3754,46.3%,53.7%,0.86302729528536,10/05/20
KEY,Keycorp,12.76,0.54,+4.42%,3754,14.0%,86.0%,0.16222910216718,10/05/20
WBT,"Welbilt Inc",6.77,0.28,+4.31%,3706,0.9%,99.1%,0.0095341868700627,10/05/20
NGD,"New Gold Inc",1.96,0.22,+12.64%,3694,9.7%,90.3%,0.10698231944861,10/05/20
DKS,"Dick's Sporting Goods Inc",62.13,1.96,+3.26%,3688,33.6%,66.4%,0.50653594771242,10/05/20
EOG,"Eog Resources",36.46,1.65,+4.74%,3688,17.7%,82.3%,0.21475625823452,10/05/20
GLNG,"Golar Lng Ltd",7.6,0.45,+6.29%,3688,8.5%,91.5%,0.092740740740741,10/05/20
FVRR,"Fiverr International Ltd",157.92,4.91,+3.21%,3651,44.6%,55.4%,0.80653142008906,10/05/20
LRN,"K12 Inc",28.94,2.2,+8.23%,3586,25.6%,74.4%,0.34357437242413,10/05/20
DRI,"Darden Restaurants",103.71,-0.5,-0.48%,3585,70.9%,29.1%,2.4306220095694,10/05/20
EA,"Electronic Arts Inc",130.72,1.65,+1.28%,3582,43.0%,57.0%,0.75588235294118,10/05/20
EQR,"Equity Residential",55.6,0.51,+0.93%,3579,35.0%,65.0%,0.53935483870968,10/05/20
NTES,"Netease Inc Ads",90.62,1.52,+1.71%,3549,32.1%,67.9%,0.47261410788382,10/05/20
TEX,"Terex Corp",24.04,2.45,+11.35%,3544,10.1%,89.9%,0.112715855573,10/05/20
ARNC,"Arconic Corp",20.68,1.16,+5.94%,3533,4.2%,95.8%,0.04403073286052,10/05/20
SU,"Suncor Energy Inc",12.1,0.09,+0.75%,3499,14.2%,85.8%,0.16516816516817,10/05/20
SLDB,"Solid Biosciences Inc",4.75,0.57,+13.64%,3494,30.7%,69.3%,0.44260941370768,10/05/20
BIG,"Big Lots",46.82,1.26,+2.77%,3460,34.8%,65.2%,0.53300841825432,10/05/20
DB,"Deutsche Bank Ag",8.7,0.2,+2.35%,3418,25.7%,74.3%,0.34566929133858,10/05/20
BK,"Bank of New York Mellon Corp",35.38,0.64,+1.84%,3417,55.5%,44.5%,1.2465483234714,10/05/20
RRC,"Range Resources Corp",7.06,0.56,+8.62%,3391,22.7%,77.3%,0.29328756674294,10/05/20
CMI,"Cummins Inc",217.85,7.51,+3.57%,3377,45.7%,54.3%,0.84032697547684,10/05/20
WTRH,"Waitr Holdings Inc",3.56,0.1,+2.89%,3371,3.3%,96.7%,0.034049079754601,10/05/20
PD,"Pagerduty Inc",28.13,0.5,+1.81%,3345,30.5%,69.5%,0.43809114359415,10/05/20
AGO,"Assured Guaranty Ltd",27.62,2.08,+8.14%,3340,33.9%,66.1%,0.51199637845179,10/05/20
DLTR,"Dollar Tree Inc",89.98,-0.78,-0.86%,3330,24.9%,75.1%,0.33093525179856,10/05/20
SCPL,"Sciplay Corp Cl A",17.31,1.61,+10.25%,3324,16.6%,83.4%,0.1991341991342,10/05/20
BSX,"Boston Scientific Corp",39.24,0.76,+1.98%,3311,11.4%,88.6%,0.12926330150068,10/05/20
MLM,"Martin Marietta Materials",249.18,8.63,+3.59%,3273,41.3%,58.7%,0.70291363163371,10/05/20
MYL,"Mylan NV Ord Shs",15.09,0.2,+1.34%,3258,20.5%,79.5%,0.25840092699884,10/05/20
ADM,"Archer Daniels Midland",47.78,1.04,+2.23%,3237,46.7%,53.3%,0.87761020881671,10/05/20
TJX,"TJX Companies",57.52,-0.11,-0.19%,3227,26.9%,73.1%,0.36795252225519,10/05/20
STOR,"Store Capital Corpstore Capital",28.87,0.02,+0.07%,3212,9.6%,90.4%,0.10606060606061,10/05/20
IBIO,"Ibio Inc",2.1,0.04,+1.94%,3202,4.9%,95.1%,0.051905387647832,10/05/20
OMF,"Onemain Holdings Inc",34.39,1.05,+3.15%,3199,94.9%,5.1%,18.625766871166,10/05/20
NAT,"Nordic American Tanker Shipping Ltd",3.69,0.15,+4.24%,3186,23.9%,76.1%,0.31381443298969,10/05/20
TTWO,"Take-Two Interacti",164.76,4.61,+2.88%,3182,35.4%,64.6%,0.54841849148418,10/05/20
FOXA,"Fox Corp Cl A",28.71,0.63,+2.24%,3174,32.8%,67.2%,0.48804500703235,10/05/20
RGR,"Sturm Ruger & Company",64.86,2.15,+3.43%,3174,41.3%,58.7%,0.70278969957082,10/05/20
SHAK,"Shake Shack Inc",65.59,-1.18,-1.77%,3172,44.7%,55.3%,0.80843785632839,10/05/20
PAYC,"Paycom Software Inc",342.87,11.34,+3.42%,3168,48.2%,51.8%,0.93170731707317,10/05/20
ADT,"ADT Inc",8.2,0.01,+0.12%,3158,2.6%,97.4%,0.026324341891453,10/05/20
FSM,"Fortuna Silver Mines",6.57,0.2,+3.14%,3152,4.3%,95.7%,0.045092838196286,10/05/20
FTCH,"Farfetch Ltd Cl A",26.75,0.43,+1.63%,3149,16.2%,83.8%,0.1937073540561,10/05/20
VOD,"Vodafone Grp Plc Ads",14.19,0.73,+5.42%,3133,22.9%,77.1%,0.29623500206868,10/05/20
