AAL
UAL
AAPL
TWTR
SQ
SNAP
SHOP
ROKU
INTC
AMD
FB
CAT
AMZN
TSLA
T
CSCO
CVS
VZ
BAC
C
KO
TGT
PG
CLX
KMB
JNJ
TROW
F
WM
SYY
AFL
WFC
GE
DB
DIS
NVDA
