FXI,"China Large-Cap Ishares ETF",41.24,0.54,+1.33%,3409,51.5%,48.5%,1.0598187311178,"11:24 ET"
IBB,"Nasdaq Biotechnology Ishares ETF",133.8,0.33000000000001,+0.25%,3267,61.9%,38.1%,1.6240963855422,"11:26 ET"
XLI,"S&P 500 Industrial Sector SPDR",78.25,1.76,+2.30%,2645,15.0%,85.0%,0.17712505562973,"11:26 ET"
UPRO,"Ultrapro S&P 500 Proshares",55.28,2.37,+4.48%,2571,16.8%,83.2%,0.20140186915888,"11:26 ET"
BKLN,"Senior Loan Invesco ETF",21.7,0.050000000000001,+0.23%,2501,99.1%,0.9%,107.73913043478,"11:23 ET"
NUGT,"Gold Miners Bull 2X Direxion",82.28,0.5,+0.61%,2432,15.8%,84.2%,0.1875,"11:26 ET"
ASHR,"Db-Xt Harvest CSI 300 China A",34.11,0.19,+0.56%,2318,0.4%,99.6%,0.0038977912516241,"11:23 ET"
LABU,"S&P Biotech Bull 3X Direxion",51.97,-0.77,-1.46%,2272,51.6%,48.4%,1.0673339399454,"11:26 ET"
SDOW,"Ultrapro Short Dow 30 Proshares",18.43,-0.95,-4.90%,2066,22.8%,77.2%,0.29529780564263,"11:26 ET"
DFEN,"Aerospace Defense Bull 3X Direxion",11.33,0.88,+8.42%,2002,24.9%,75.1%,0.3311170212766,"11:26 ET"
XLV,"S&P 500 Healthcare Sector SPDR",103.93,0.91000000000001,+0.88%,1992,52.3%,47.7%,1.0968421052632,"11:26 ET"
XLY,"S&P 500 Cons Disc Sector SPDR",146.36,2.44,+1.70%,1747,45.6%,54.4%,0.83894736842105,"11:26 ET"
HYD,"High Yld Muni ETF Vaneck",59.61,-0.020000000000003,-0.03%,1700,50.1%,49.9%,1.0047169811321,"11:26 ET"
KWEB,"KS Trust KS CSI China Internet ETF",66.68,0.24000000000001,+0.36%,1507,17.8%,82.2%,0.21630347054076,"11:22 ET"
XHB,"S&P Homebuilders SPDR",53.56,1.59,+3.06%,1506,43.8%,56.2%,0.78014184397163,"11:26 ET"
SVXY,"VIX Short-Term Fut Short Proshares",35,-0.060000000000002,-0.17%,1474,16.5%,83.5%,0.19740048740861,"11:26 ET"
IYR,"US Real Estate Ishares ETF",80.24,1.63,+2.07%,1342,27.2%,72.8%,0.37359263050154,"11:26 ET"
QLD,"Ultra QQQ Proshares",90.04,2.5,+2.86%,1342,54.7%,45.3%,1.2072368421053,"11:24 ET"
LQD,"Invst Grade Corp Bond Ishares Iboxx $ ETF",134.69,0.47,+0.35%,1254,70.3%,29.7%,2.3709677419355,"11:26 ET"
TAN,"Solar Invesco ETF",60.35,2.71,+4.70%,1246,18.5%,81.5%,0.22758620689655,"11:26 ET"
QID,"Ultrashort QQQ Proshares",9.66,-0.27,-2.72%,1239,8.0%,92.0%,0.086842105263158,"11:26 ET"
ECH,"Chile Ishares MSCI ETF",23.85,0.22,+0.93%,1200,66.7%,33.3%,2,"11:20 ET"
UCO,"Ultra DJ-UBS Crude Oil Proshares",28.83,0.34,+1.19%,1185,34.1%,65.9%,0.51728553137004,"11:26 ET"
FXE,"Euro Trust Currencyshares Invesco",109.69,0.25,+0.23%,1172,28.8%,71.2%,0.40359281437126,"11:10 ET"
SHY,"1-3 Year Treasury Bond Ishares ETF",86.5,0,0.00%,1138,95.2%,4.8%,19.690909090909,"11:17 ET"
TECS,"Technology Bear 3X Direxion",13.61,-0.57,-4.02%,1131,18.3%,81.7%,0.22402597402597,"11:24 ET"
ARKK,"Ark Innovation ETF",91.97,1.22,+1.34%,1087,38.2%,61.8%,0.61755952380952,"11:26 ET"
SSO,"Ultra S&P 500 Proshares",72.89,2.05,+2.89%,1043,13.8%,86.2%,0.16017797552836,"11:26 ET"
OIH,"Oil Services Vaneck ETF",101.22,3.85,+3.95%,1037,77.8%,22.2%,3.5086956521739,"11:26 ET"
JNUG,"Junior Gold Mine Bull 3X Direxion",126.17,2.19,+1.77%,1025,35.5%,64.5%,0.55068078668684,"11:26 ET"
IAU,"Gold Trust Ishares",17.86,0.09,+0.51%,901,6.4%,93.6%,0.068801897983393,"11:25 ET"
AGQ,"Ultra Silver Proshares",42.15,1.52,+3.74%,851,21.7%,78.3%,0.27777777777778,"11:26 ET"
ERX,"Energy Bull 2X Direxion",9.84,0.34,+3.58%,839,2.3%,97.7%,0.023170731707317,"11:26 ET"
DUST,"Gold Miners Bear 2X Direxion",19.57,-0.19,-0.96%,833,18.0%,82.0%,0.21961932650073,"11:24 ET"
ZEB.TO,"BMO S&P TSX Equal Weight Banks Index ETF",25.44,0.41,+1.64%,769,0.0%,100.0%,0,"11:10 ET"
GUSH,"S&P Oil & Gas Expl Bull 3X Direxion",22.78,0.96,+4.40%,729,3.4%,96.6%,0.035511363636364,"11:26 ET"
SH,"S&P 500 Short Proshares",20.4,-0.33,-1.59%,718,13.2%,86.8%,0.15248796147673,"11:25 ET"
XLB,"S&P 500 Materials Sector SPDR",63.52,1.06,+1.70%,703,25.9%,74.1%,0.34932821497121,"11:26 ET"
VIXY,"VIX Short-Term Futures Proshares",20.97,0.049999999999997,+0.24%,670,16.6%,83.4%,0.19856887298748,"11:26 ET"
SOXL,"Semiconductor Bull 3X Direxion",245.73,13.9,+6.00%,666,42.8%,57.2%,0.74803149606299,"11:24 ET"
JDST,"Junior Gold Mine Bear 3X Direxion",11.59,-0.22,-1.86%,657,52.2%,47.8%,1.0923566878981,"11:26 ET"
INDA,"India MSCI Ishares ETF",33.53,0.47,+1.42%,650,75.5%,24.5%,3.0880503144654,"11:26 ET"
VNQ,"Real Estate Vanguard ETF",79.36,1.66,+2.14%,640,11.7%,88.3%,0.13274336283186,"11:26 ET"
UDOW,"Ultrapro Dow 30 Proshares",76.59,3.55,+4.86%,623,37.4%,62.6%,0.5974358974359,"11:23 ET"
BRZU,"Brazil Bull 3X Direxion",69.39,-1.6,-2.25%,620,26.8%,73.2%,0.36563876651982,"11:21 ET"
SRTY,"Ultrapro Short Russell 2000 Proshares",8.58,-0.66,-7.14%,606,9.4%,90.6%,0.10382513661202,"11:26 ET"
YINN,"FTSE China Bull 3X Direxion",13.86,0.52,+3.90%,590,3.1%,96.9%,0.031468531468531,"11:26 ET"
NAIL,"Homebuild & Suppliers Bull 3X Direxion",50.79,4.6,+9.96%,540,46.5%,53.5%,0.86851211072664,"11:26 ET"
XIU.TO,"Ishares S&P TSX 60 Index ETF",24.63,0.28,+1.15%,515,29.7%,70.3%,0.42265193370166,"11:11 ET"
VYM,"High Dividend Yield Vanguard ETF",80.96,1.24,+1.56%,507,7.7%,92.3%,0.083333333333333,"11:26 ET"
BETZ,"Roundhill Sports Betting & Igaming ETF",21.45,0.28,+1.32%,481,6.4%,93.6%,0.068888888888889,"11:25 ET"
EWJ,"Japan Ishares MSCI ETF",59.43,0.67,+1.14%,477,61.0%,39.0%,1.5645161290323,"11:26 ET"
LIT,"G-X Lithium ETF",38.28,0.66,+1.75%,417,26.4%,73.6%,0.35830618892508,"11:25 ET"
DXD,"Ultrashort Dow 30 Proshares",15.8,-0.57,-3.48%,415,6.3%,93.7%,0.066838046272494,"11:25 ET"
XME,"S&P Metals & Mining SPDR",23.73,0.7,+3.04%,415,16.4%,83.6%,0.19596541786744,"11:26 ET"
CLOU,"Global X Cloud Computing ETF",23.85,0.29,+1.23%,403,63.8%,36.2%,1.7602739726027,"11:22 ET"
TBT,"Ultrashort 20+ Year Treasury Proshares",15.44,0.07,+0.46%,360,29.2%,70.8%,0.41176470588235,"11:05 ET"
SOYB,"Teucrium Soybean",15.48,-0.049999999999999,-0.32%,349,26.1%,73.9%,0.35271317829457,"11:05 ET"
EWW,"Mexico Ishares MSCI ETF",32.29,0.07,+0.22%,344,63.7%,36.3%,1.752,"11:25 ET"
XLRE,"S&P 500 Real Estate Sector SPDR",35.29,0.62,+1.79%,342,28.7%,71.3%,0.4016393442623,"11:26 ET"
SILJ,"Purefunds ISE Junior Silver ETF",13.5,0.06,+0.45%,339,10.6%,89.4%,0.11881188118812,"11:26 ET"
CORN,"Teucrium Corn",12.74,-0.0099999999999998,-0.08%,338,0.9%,99.1%,0.008955223880597,"11:09 ET"
ICLN,"Global Clean Energy Ishares ETF",17.51,0.71,+4.23%,334,0.3%,99.7%,0.003003003003003,"11:22 ET"
TWM,"Ultrashort Russell 2000 Proshares",9,-0.46,-4.86%,326,1.2%,98.8%,0.012422360248447,"11:25 ET"
TECL,"Technology Bull 3X Direxion",296.94,11.59,+4.06%,325,54.8%,45.2%,1.2108843537415,"11:24 ET"
ITB,"US Home Construction Ishares ETF",56.02,1.83,+3.38%,316,42.4%,57.6%,0.73626373626374,"11:26 ET"
REM,"Mortgage Real Estate Ishares ETF",26.29,0.83,+3.26%,315,34.3%,65.7%,0.52173913043478,"11:26 ET"
DBA,"DB Agriculture Fund Invesco",14.53,-0.1,-0.68%,313,1.6%,98.4%,0.016233766233766,"11:11 ET"
IWF,"Russell 1000 Growth Ishares ETF",215.1,2.98,+1.40%,307,77.2%,22.8%,3.3857142857143,"11:26 ET"
VTI,"Total Stock Market ETF Vanguard",169.71,2.75,+1.65%,305,18.7%,81.3%,0.22983870967742,"11:26 ET"
VWO,"Emrg Mkts ETF MSCI Vanguard",42.51,0.36,+0.85%,294,8.5%,91.5%,0.092936802973978,"11:26 ET"
PSQ,"QQQ Short Proshares",16.72,-0.23,-1.36%,284,1.8%,98.2%,0.017921146953405,"11:26 ET"
VOO,"S&P 500 ETF Vanguard",307.79,4.51,+1.49%,255,27.5%,72.5%,0.37837837837838,"11:26 ET"
SPHD,"S&P 500 High Dividend Low Vol Invesco ETF",33.15,0.54,+1.66%,250,43.2%,56.8%,0.76056338028169,"11:26 ET"
DRV,"Real Estate Bear 3X Direxion",14.09,-0.96,-6.38%,247,5.7%,94.3%,0.060085836909871,"11:09 ET"
SIL,"G-X Silver Miners ETF",42.47,0.12,+0.28%,242,26.4%,73.6%,0.35955056179775,"11:23 ET"
IGV,"North American Tech-Software Ishares ETF",311.75,3.71,+1.20%,222,38.3%,61.7%,0.62043795620438,"11:26 ET"
DOG,"Dow 30 Short Proshares",44.02,-0.73999999999999,-1.65%,211,5.7%,94.3%,0.060301507537688,"11:26 ET"
FEZ,"Euro Stoxx 50 ETF SPDR",36.51,0.75,+2.10%,205,17.1%,82.9%,0.20588235294118,"11:25 ET"
JO,"Ipatha.B Coffee Subindex TR ETN",33.21,-1.36,-3.93%,194,13.9%,86.1%,0.16167664670659,"11:09 ET"
MDY,"S&P Midcap 400 SPDR",338.83,8.08,+2.44%,176,9.7%,90.3%,0.10691823899371,"11:25 ET"
BOIL,"Ultra DJ-UBS Natural Gas Proshares",42.32,-0.55,-1.28%,167,35.9%,64.1%,0.5607476635514,"11:25 ET"
DRIP,"S&P Oil & Gas Expl Bear 3X Direxion",67.52,-2.98,-4.23%,157,0.0%,100.0%,0,"11:26 ET"
URTY,"Ultrapro Russell 2000 Proshares",36.47,2.54,+7.49%,154,1.3%,98.7%,0.013157894736842,"11:12 ET"
SOXX,"PHLX Semiconductor Ishares ETF",301.13,5.88,+1.99%,150,9.3%,90.7%,0.10294117647059,"11:26 ET"
TMF,"20+ Year Trsy Bull 3X Direxion",41.03,-0.25,-0.61%,148,28.4%,71.6%,0.39622641509434,"11:26 ET"
EWY,"South Korea Ishares MSCI ETF",64.14,1.14,+1.81%,146,61.6%,38.4%,1.6071428571429,"11:26 ET"
XLC,"S&P 500 Communication Sector SPDR",59.01,0.48999999999999,+0.84%,144,13.9%,86.1%,0.16129032258065,"11:26 ET"
JNK,"High Yield Bond ETF SPDR",103.73,0.65000000000001,+0.63%,142,55.6%,44.4%,1.2539682539683,"11:25 ET"
AMLP,"Alps Alerian MLP ETF",19.68,0.12,+0.61%,142,23.9%,76.1%,0.31481481481481,"11:26 ET"
UGL,"Ultra Gold Proshares",67.5,0.77,+1.15%,135,74.1%,25.9%,2.8571428571429,"11:23 ET"
LABD,"S&P Biotech Bear 3X Direxion",60.95,0.48,+0.79%,128,19.5%,80.5%,0.24271844660194,"11:22 ET"
VIXM,"VIX Mid-Term Futures Proshares",41.47,-0.11,-0.26%,126,80.2%,19.8%,4.04,"10:51 ET"
RSX,"Russia Vaneck ETF",20.76,-0.099999999999998,-0.48%,125,71.2%,28.8%,2.4722222222222,"11:25 ET"
IEF,"7-10 Year Treas Bond Ishares ETF",122.04,-0.039999999999992,-0.03%,125,47.2%,52.8%,0.89393939393939,"11:26 ET"
ACWI,"ACWI Ishares MSCI ETF",79.69,1.1,+1.40%,124,25.8%,74.2%,0.34782608695652,"11:26 ET"
IWN,"Russell 2000 Value Ishares ETF",99.9,2.95,+3.04%,123,10.6%,89.4%,0.11818181818182,"11:26 ET"
ARKF,"Ark Fintech Innovation ETF",39.36,0.69,+1.78%,119,37.8%,62.2%,0.60810810810811,"11:26 ET"
VGK,"Europe ETF FTSE Vanguard",52.55,0.86,+1.66%,119,37.8%,62.2%,0.60810810810811,"11:26 ET"
IVE,"S&P 500 Value Ishares ETF",112.56,1.89,+1.71%,118,3.4%,96.6%,0.035087719298246,"11:24 ET"
TUR,"Turkey Ishares MSCI ETF",19.44,-0.48,-2.41%,117,52.1%,47.9%,1.0892857142857,"11:26 ET"
DXJ,"Wisdomtree Japan Hedged Equity Fund",49.59,0.51000000000001,+1.04%,116,33.6%,66.4%,0.50649350649351,"11:26 ET"
EWU,"United Kingdom Ishares MSCI ETF",25.7,0.48,+1.90%,114,98.2%,1.8%,56,"11:26 ET"
SKYY,"Cloud Computing ETF FT",77.99,1.04,+1.35%,110,32.7%,67.3%,0.48648648648649,"11:22 ET"
PSP,"Global Listed Private Equity Invesco ETF",10.94,0.24,+2.24%,109,98.2%,1.8%,53.5,"11:22 ET"
