ITB,"US Home Construction Ishares ETF",56.59,1.2,+2.17%,13761,13.1%,86.9%,0.15010447137484,08/21/20
IBB,"Nasdaq Biotechnology Ishares ETF",132.6,-0.78,-0.58%,13054,64.1%,35.9%,1.7827755276061,08/21/20
JETS,"US Global Jets ETF",16.64,-0.14,-0.83%,11206,33.8%,66.2%,0.50963222416813,08/21/20
SDS,"Ultrashort S&P 500 Proshares",15.91,-0.11,-0.69%,10566,14.4%,85.6%,0.16854678168547,08/21/20
LABU,"S&P Biotech Bull 3X Direxion",55.81,-2.2,-3.79%,10441,66.2%,33.8%,1.9569527046163,08/21/20
TBT,"Ultrashort 20+ Year Treasury Proshares",15.28,-0.17,-1.10%,10019,29.5%,70.5%,0.4175155631013,08/21/20
ZEB.TO,"BMO S&P TSX Equal Weight Banks Index ETF",25.15,-0.05,-0.20%,10011,0.0%,100.0%,0.0003997201958629,08/21/20
SVXY,"VIX Short-Term Fut Short Proshares",36.3,-0.090000000000003,-0.25%,9640,37.5%,62.5%,0.60079707738293,08/21/20
SMH,"Semiconductor Vaneck ETF",170.91,1.23,+0.72%,9229,34.9%,65.1%,0.53663003663004,08/21/20
SRTY,"Ultrapro Short Russell 2000 Proshares",8.21,0.16,+1.99%,8848,2.3%,97.7%,0.023600185099491,08/21/20
EWW,"Mexico Ishares MSCI ETF",33.97,-0.31,-0.90%,7928,56.8%,43.2%,1.3154205607477,08/21/20
FAS,"Financial Bull 3X Direxion",36.38,-0.25,-0.68%,7760,34.7%,65.3%,0.53208292201382,08/21/20
DVY,"Select Dividend Ishares ETF",83.43,-0.28,-0.33%,7665,49.7%,50.3%,0.98832684824903,08/21/20
UPRO,"Ultrapro S&P 500 Proshares",58.56,0.6,+1.04%,7525,39.5%,60.5%,0.65311950790861,08/21/20
SPXL,"S&P 500 Bull 3X Direxion",55.13,0.56,+1.03%,7001,19.8%,80.2%,0.24750534568781,08/21/20
XLRE,"S&P 500 Real Estate Sector SPDR",35.9,0.12,+0.34%,6703,91.5%,8.5%,10.780316344464,08/21/20
JNUG,"Junior Gold Mine Bull 3X Direxion",141.17,-8.26,-5.53%,6611,20.6%,79.4%,0.2592380952381,08/21/20
EMB,"USD Emrg Mkts Bond Ishares JPM ETF",113.66,0.36,+0.32%,6329,31.6%,68.4%,0.46132532902332,08/21/20
AGQ,"Ultra Silver Proshares",57.25,-3.28,-5.42%,6310,35.3%,64.7%,0.54505386875612,08/21/20
FXE,"Euro Trust Currencyshares Invesco",111.13,-0.66000000000001,-0.59%,6201,45.1%,54.9%,0.8206106870229,08/21/20
VWO,"Emrg Mkts ETF MSCI Vanguard",43.97,0.28,+0.64%,5924,20.7%,79.3%,0.26149914821124,08/21/20
IGV,"North American Tech-Software Ishares ETF",302.49,-2.07,-0.68%,5814,84.1%,15.9%,5.3058568329718,08/21/20
SH,"S&P 500 Short Proshares",20.26,-0.069999999999997,-0.34%,5735,26.5%,73.5%,0.35997154375148,08/21/20
RSX,"Russia Vaneck ETF",22.59,-0.28,-1.22%,5604,7.3%,92.7%,0.078937235271467,08/21/20
XLC,"S&P 500 Communication Sector SPDR",60.75,-0.27,-0.44%,5449,4.2%,95.8%,0.043469934890846,08/21/20
IAU,"Gold Trust Ishares",18.48,-0.16,-0.86%,5152,12.6%,87.4%,0.14438027543314,08/21/20
