,symbol,udl_price,exp,dte,s_strike,l_strike,width,premium,max_loss,be_price,adj_profit,rr_percent,iv_z_score,strad_z_score,s_delta,l_delta
0,SPCE,21.5677,2020-08-28,24,18.5,17.5,1.0,25.0,75.0,18.25,2.112,33.333,0.727,0.682,22.888,15.095
1,SPCE,21.5677,2020-08-28,24,19.0,17.5,1.5,43.0,107.0,18.57,2.478,40.187,0.608,0.571,27.015,15.095
2,SPCE,21.5677,2020-08-28,24,19.0,18.0,1.0,29.0,71.0,18.71,1.985,40.845,0.608,0.571,27.015,18.78
3,SPCE,21.5677,2020-09-18,45,17.0,16.0,1.0,25.0,75.0,16.75,4.264,33.333,1.122,0.701,20.736,14.873
4,SPCE,21.5677,2020-09-18,45,18.0,15.0,3.0,84.0,216.0,17.16,4.027,38.889,0.876,0.547,26.658,9.139
5,SPCE,21.5677,2020-09-18,45,18.0,16.0,2.0,61.0,139.0,17.39,7.685,43.885,0.876,0.547,26.658,14.873
6,SPCE,21.5677,2020-09-18,45,18.0,17.0,1.0,31.0,69.0,17.69,4.342,44.928,0.876,0.547,26.658,20.736
7,INO,20.53,2020-09-18,45,14.0,13.0,1.0,28.0,72.0,13.72,8.889,38.889,0.451,0.591,19.111,16.337
8,INO,20.53,2020-09-18,45,15.0,13.0,2.0,69.0,131.0,14.31,24.938,52.672,0.382,0.5,22.031,16.337
9,INO,20.53,2020-09-18,45,15.0,14.0,1.0,30.0,70.0,14.7,7.969,42.857,0.382,0.5,22.031,19.111
10,INO,20.53,2020-09-18,45,16.0,13.0,3.0,109.0,191.0,14.91,33.858,57.068,0.313,0.41,25.047,16.337
11,INO,20.53,2020-09-18,45,16.0,14.0,2.0,70.0,130.0,15.3,19.906,53.846,0.313,0.41,25.047,19.111
12,INO,20.53,2020-09-18,45,16.0,15.0,1.0,27.0,73.0,15.73,1.953,36.986,0.313,0.41,25.047,22.031
13,INO,20.53,2020-09-18,45,17.0,13.0,4.0,150.0,250.0,15.5,37.572,60.0,0.244,0.319,28.107,16.337
14,INO,20.53,2020-09-18,45,17.0,14.0,3.0,111.0,189.0,15.89,26.679,58.73,0.244,0.319,28.107,19.111
15,INO,20.53,2020-09-18,45,17.0,15.0,2.0,68.0,132.0,16.32,11.786,51.515,0.244,0.319,28.107,22.031
16,WKHS,17.9476,2020-09-18,45,14.0,12.0,2.0,50.0,150.0,13.5,3.505,33.333,0.416,0.531,23.247,15.502
17,WKHS,17.9476,2020-09-18,45,14.0,13.0,1.0,25.0,75.0,13.75,1.753,33.333,0.416,0.531,23.247,19.208
18,WKHS,17.9476,2020-09-18,45,15.0,12.0,3.0,85.0,215.0,14.15,2.164,39.535,0.31,0.397,27.612,15.502
19,WKHS,17.9476,2020-09-18,45,15.0,13.0,2.0,60.0,140.0,14.4,4.776,42.857,0.31,0.397,27.612,19.208
20,SRNE,10.905,2020-09-18,45,8.0,4.0,4.0,100.0,300.0,7.0,4.327,33.333,0.391,0.484,23.918,3.477
21,SRNE,10.905,2020-09-18,45,8.0,4.5,3.5,95.0,255.0,7.05,11.286,37.255,0.391,0.484,23.918,5.395
22,SRNE,10.905,2020-09-18,45,8.0,5.0,3.0,85.0,215.0,7.15,13.245,39.535,0.391,0.484,23.918,7.52
23,SRNE,10.905,2020-09-18,45,8.0,5.5,2.5,70.0,180.0,7.3,10.204,38.889,0.391,0.484,23.918,9.883
24,SRNE,10.905,2020-09-18,45,8.0,6.0,2.0,60.0,140.0,7.4,12.164,42.857,0.391,0.484,23.918,12.43
25,SRNE,10.905,2020-09-18,45,8.0,7.0,1.0,30.0,70.0,7.7,6.082,42.857,0.391,0.484,23.918,17.961
26,SRNE,10.905,2020-09-18,45,9.0,4.0,5.0,150.0,350.0,7.5,0.245,42.857,0.256,0.317,29.951,3.477
27,SRNE,10.905,2020-09-18,45,9.0,4.5,4.5,145.0,305.0,7.55,10.221,47.541,0.256,0.317,29.951,5.395
28,SRNE,10.905,2020-09-18,45,9.0,5.0,4.0,135.0,265.0,7.65,15.196,50.943,0.256,0.317,29.951,7.52
29,SRNE,10.905,2020-09-18,45,9.0,5.5,3.5,120.0,230.0,7.8,15.172,52.174,0.256,0.317,29.951,9.883
30,SRNE,10.905,2020-09-18,45,9.0,6.0,3.0,110.0,190.0,7.9,20.147,57.895,0.256,0.317,29.951,12.43
31,SRNE,10.905,2020-09-18,45,9.0,7.0,2.0,80.0,120.0,8.2,20.098,66.667,0.256,0.317,29.951,17.961
32,SRNE,10.905,2020-09-18,45,9.0,8.0,1.0,35.0,65.0,8.65,5.049,53.846,0.256,0.317,29.951,23.918
33,ROKU,165.244,2020-08-28,24,149.0,144.0,5.0,140.0,360.0,147.6,0.968,38.889,0.452,0.452,27.806,22.975
34,ROKU,165.244,2020-08-28,24,149.0,145.0,4.0,115.0,285.0,147.85,3.774,40.351,0.452,0.452,27.806,23.897
35,ROKU,165.244,2020-08-28,24,150.0,145.0,5.0,150.0,350.0,148.5,5.881,42.857,0.424,0.424,28.824,23.897
36,ROKU,165.244,2020-09-18,45,145.0,140.0,5.0,145.0,355.0,143.55,13.84,40.845,0.474,0.546,26.232,22.24
37,SLV,23.03,2020-09-30,57,20.5,19.5,1.0,25.0,75.0,20.25,0.709,33.333,0.615,0.595,24.291,16.304
38,SLV,23.03,2020-09-30,57,20.5,20.0,0.5,13.0,37.0,20.37,0.855,35.135,0.615,0.595,24.291,19.927
39,SLV,23.03,2020-09-30,57,21.0,20.0,1.0,31.0,69.0,20.69,1.751,44.928,0.494,0.478,29.249,19.927
40,SLV,23.03,2020-09-30,57,21.0,20.5,0.5,16.0,34.0,20.84,1.376,47.059,0.494,0.478,29.249,24.291
41,NIO,13.8099,2020-08-28,24,12.0,9.5,2.5,68.0,182.0,11.32,2.316,37.363,0.47,0.441,26.273,10.567
42,NIO,13.8099,2020-08-28,24,12.0,10.0,2.0,59.0,141.0,11.41,6.453,41.844,0.47,0.441,26.273,13.243
43,NIO,13.8099,2020-08-28,24,12.0,10.5,1.5,47.0,103.0,11.53,7.59,45.631,0.47,0.441,26.273,15.843
44,NIO,13.8099,2020-08-28,24,12.0,11.0,1.0,32.0,68.0,11.68,5.727,47.059,0.47,0.441,26.273,18.909
45,NIO,13.8099,2020-08-28,24,12.0,11.5,0.5,15.0,35.0,11.85,1.863,42.857,0.47,0.441,26.273,22.343
46,NIO,13.8099,2020-09-04,31,12.0,10.5,1.5,45.0,105.0,11.55,3.659,42.857,0.355,0.379,27.561,17.567
47,NIO,13.8099,2020-09-04,31,12.0,11.0,1.0,34.0,66.0,11.66,6.439,51.515,0.355,0.379,27.561,20.702
48,NIO,13.8099,2020-09-18,45,11.0,9.0,2.0,58.0,142.0,10.42,13.641,40.845,0.469,0.525,22.179,11.809
49,NIO,13.8099,2020-09-18,45,11.0,10.0,1.0,32.0,68.0,10.68,9.821,47.059,0.469,0.525,22.179,16.561
