,symbol,udl_price,exp,dte,s_strike,l_strike,width,premium,max_loss,be_price,adj_profit,rr_percent,iv_z_score,strad_z_score,s_delta,l_delta
0,NKLA,30.0298,2020-08-21,28,30.0,25.0,5.0,225.0,275.0,27.75,112.237,81.818,0.002,0.002,22.553,12.937
1,NKLA,30.0298,2020-09-18,56,30.0,25.0,5.0,230.0,270.0,27.7,110.002,85.185,0.002,0.002,24.0,14.777
2,SPCE,24.4862,2020-08-21,28,20.5,19.0,1.5,51.0,99.0,19.99,9.665,51.515,0.489,0.554,27.557,20.386
3,SPCE,24.4862,2020-08-21,28,20.5,19.5,1.0,34.0,66.0,20.16,6.443,51.515,0.489,0.554,27.557,22.718
4,SPCE,24.4862,2020-08-21,28,21.0,18.0,3.0,100.0,200.0,20.0,10.016,50.0,0.428,0.484,29.995,15.921
5,SPCE,24.4862,2020-08-21,28,21.0,18.5,2.5,87.0,163.0,20.13,12.013,53.374,0.428,0.484,29.995,18.119
6,SPCE,24.4862,2020-08-21,28,21.0,19.0,2.0,73.0,127.0,20.27,13.011,57.48,0.428,0.484,29.995,20.386
7,SPCE,24.4862,2020-08-21,28,21.0,19.5,1.5,56.0,94.0,20.44,11.008,59.574,0.428,0.484,29.995,22.718
8,SPCE,24.4862,2020-08-21,28,21.0,20.0,1.0,38.0,62.0,20.62,8.005,61.29,0.428,0.484,29.995,25.127
9,SPCE,24.4862,2020-08-21,28,21.0,20.5,0.5,19.0,31.0,20.81,4.003,61.29,0.428,0.484,29.995,27.557
10,SPCE,24.4862,2020-09-18,56,20.0,16.0,4.0,137.0,263.0,18.63,27.206,52.091,0.432,0.47,27.449,12.865
11,SPCE,24.4862,2020-09-18,56,20.0,17.0,3.0,109.0,191.0,18.91,26.654,57.068,0.432,0.47,27.449,16.266
12,SPCE,24.4862,2020-09-18,56,20.0,18.0,2.0,76.0,124.0,19.24,21.103,61.29,0.432,0.47,27.449,19.901
13,SPCE,24.4862,2020-09-18,56,20.0,19.0,1.0,36.0,64.0,19.64,8.551,56.25,0.432,0.47,27.449,23.644
14,INO,22.669,2020-09-18,56,17.0,15.0,2.0,70.0,130.0,16.3,20.362,53.846,0.341,0.434,24.819,19.762
15,INO,22.669,2020-09-18,56,18.0,15.0,3.0,120.0,180.0,16.8,37.965,66.667,0.281,0.358,27.345,19.762
16,INO,22.669,2020-09-18,56,19.0,15.0,4.0,170.0,230.0,17.3,50.599,73.913,0.221,0.281,29.85,19.762
17,INO,22.669,2020-09-18,56,19.0,17.0,2.0,80.0,120.0,18.2,20.299,66.667,0.221,0.281,29.85,24.819
18,INO,22.669,2020-09-18,56,19.0,18.0,1.0,35.0,65.0,18.65,5.15,53.846,0.221,0.281,29.85,27.345
19,SRNE,7.62,2020-09-18,56,5.5,4.0,1.5,50.0,100.0,5.0,15.806,50.0,0.408,0.458,22.796,10.862
20,SRNE,7.62,2020-09-18,56,6.0,3.5,2.5,85.0,165.0,5.15,17.828,51.515,0.312,0.35,26.869,7.321
21,SRNE,7.62,2020-09-18,56,6.0,4.0,2.0,80.0,120.0,5.2,26.262,66.667,0.312,0.35,26.869,10.862
22,SRNE,7.62,2020-09-18,56,6.0,4.5,1.5,60.0,90.0,5.4,19.697,66.667,0.312,0.35,26.869,14.685
23,SRNE,7.62,2020-09-18,56,6.0,5.0,1.0,40.0,60.0,5.6,13.131,66.667,0.312,0.35,26.869,18.692
24,UVXY,27.89,2020-08-21,28,23.0,21.0,2.0,67.0,133.0,22.33,22.04,50.376,0.491,0.525,22.48,15.719
25,UVXY,27.89,2020-08-21,28,23.0,22.0,1.0,34.0,66.0,22.66,11.52,51.515,0.491,0.525,22.48,19.02
26,UVXY,27.89,2020-08-21,28,24.0,20.0,4.0,138.0,262.0,22.62,33.795,52.672,0.391,0.418,26.051,12.692
27,UVXY,27.89,2020-08-21,28,24.0,21.0,3.0,109.0,191.0,22.91,30.846,57.068,0.391,0.418,26.051,15.719
28,UVXY,27.89,2020-08-21,28,24.0,22.0,2.0,76.0,124.0,23.24,23.898,61.29,0.391,0.418,26.051,19.02
29,UVXY,27.89,2020-08-21,28,24.0,23.0,1.0,34.0,66.0,23.66,7.949,51.515,0.391,0.418,26.051,22.48
30,UVXY,27.89,2020-08-21,28,25.0,20.0,5.0,190.0,310.0,23.1,41.839,61.29,0.29,0.31,29.632,12.692
31,UVXY,27.89,2020-08-21,28,25.0,21.0,4.0,161.0,239.0,23.39,42.472,67.364,0.29,0.31,29.632,15.719
32,UVXY,27.89,2020-08-21,28,25.0,22.0,3.0,128.0,172.0,23.72,39.104,74.419,0.29,0.31,29.632,19.02
