,symbol,udl_price,exp,dte,s_strike,l_strike,width,premium,max_loss,be_price,adj_profit,rr_percent,iv_z_score,strad_z_score,s_delta,l_delta
0,GUSH,32.3299,2020-09-18,60,5.0,1.0,4.0,200.0,200.0,3.0,200.0,100.0,2.457,2.457,-0.0,49.794
1,GUSH,32.3299,2020-09-18,60,5.0,2.0,3.0,105.0,195.0,3.95,105.0,53.846,2.457,2.457,-0.0,71.334
2,GUSH,32.3299,2020-09-18,60,10.0,5.0,5.0,250.0,250.0,7.5,250.0,100.0,2.007,2.007,-0.0,-0.0
3,UVXY,25.78,2020-08-14,25,23.0,20.0,3.0,102.0,198.0,21.98,14.116,51.515,0.34,0.359,29.295,16.299
4,UVXY,25.78,2020-08-14,25,23.0,21.0,2.0,71.0,129.0,22.29,12.41,55.039,0.34,0.359,29.295,20.381
5,UVXY,25.78,2020-08-14,25,23.0,22.0,1.0,36.0,64.0,22.64,6.705,56.25,0.34,0.359,29.295,24.766
6,UVXY,25.78,2020-08-21,32,21.0,20.0,1.0,34.0,66.0,20.66,12.893,51.515,0.489,0.55,21.107,16.891
7,UVXY,25.78,2020-08-21,32,22.0,18.0,4.0,137.0,263.0,20.63,34.849,52.091,0.387,0.435,25.538,10.196
8,UVXY,25.78,2020-08-21,32,22.0,19.0,3.0,110.0,190.0,20.9,33.387,57.895,0.387,0.435,25.538,13.22
9,UVXY,25.78,2020-08-21,32,22.0,20.0,2.0,80.0,120.0,21.2,28.925,66.667,0.387,0.435,25.538,16.891
10,UVXY,25.78,2020-08-21,32,22.0,21.0,1.0,41.0,59.0,21.59,15.462,69.492,0.387,0.435,25.538,21.107
11,UVXY,25.78,2020-08-21,32,23.0,18.0,5.0,188.0,312.0,21.12,38.096,60.256,0.285,0.32,29.981,10.196
12,UVXY,25.78,2020-08-21,32,23.0,19.0,4.0,161.0,239.0,21.39,41.077,67.364,0.285,0.32,29.981,13.22
13,UVXY,25.78,2020-08-21,32,23.0,20.0,3.0,131.0,169.0,21.69,41.058,77.515,0.285,0.32,29.981,16.891
14,UVXY,25.78,2020-08-21,32,23.0,21.0,2.0,92.0,108.0,22.08,32.038,85.185,0.285,0.32,29.981,21.107
15,UVXY,25.78,2020-08-21,32,23.0,22.0,1.0,42.0,58.0,22.58,12.019,72.414,0.285,0.32,29.981,25.538
16,UVXY,25.78,2020-09-18,60,21.0,16.0,5.0,191.0,309.0,19.09,64.973,61.812,0.369,0.397,25.205,10.82
17,UVXY,25.78,2020-09-18,60,21.0,17.0,4.0,156.0,244.0,19.44,55.178,63.934,0.369,0.397,25.205,13.487
18,UVXY,25.78,2020-09-18,60,21.0,18.0,3.0,132.0,168.0,19.68,56.384,78.571,0.369,0.397,25.205,16.32
19,UVXY,25.78,2020-09-18,60,21.0,19.0,2.0,82.0,118.0,20.18,31.589,69.492,0.369,0.397,25.205,19.254
20,UVXY,25.78,2020-09-18,60,21.0,20.0,1.0,38.0,62.0,20.62,12.794,61.29,0.369,0.397,25.205,22.234
21,UVXY,25.78,2020-09-18,60,22.0,17.0,5.0,209.0,291.0,19.91,68.363,71.821,0.292,0.314,28.127,13.487
22,UVXY,25.78,2020-09-18,60,22.0,18.0,4.0,185.0,215.0,20.15,72.491,86.047,0.292,0.314,28.127,16.32
23,UVXY,25.78,2020-09-18,60,22.0,19.0,3.0,135.0,165.0,20.65,50.618,81.818,0.292,0.314,28.127,19.254
24,UVXY,25.78,2020-09-18,60,22.0,20.0,2.0,91.0,109.0,21.09,34.745,83.486,0.292,0.314,28.127,22.234
25,UVXY,25.78,2020-09-18,60,22.0,21.0,1.0,43.0,57.0,21.57,14.873,75.439,0.292,0.314,28.127,25.205
26,INO,25.0797,2020-08-21,32,21.0,16.0,5.0,180.0,320.0,19.2,37.802,56.25,0.284,0.284,28.44,14.623
27,INO,25.0797,2020-08-21,32,21.0,17.0,4.0,135.0,265.0,19.65,21.241,50.943,0.284,0.284,28.44,17.164
28,INO,25.0797,2020-08-21,32,21.0,18.0,3.0,108.0,192.0,19.92,22.681,56.25,0.284,0.284,28.44,19.861
29,INO,25.0797,2020-08-21,32,21.0,19.0,2.0,71.0,129.0,20.29,14.121,55.039,0.284,0.284,28.44,22.657
30,INO,25.0797,2020-09-18,60,17.0,15.0,2.0,70.0,130.0,16.3,30.847,53.846,0.435,0.538,19.577,15.252
31,INO,25.0797,2020-09-18,60,18.0,15.0,3.0,113.0,187.0,16.87,47.671,60.428,0.381,0.472,21.776,15.252
32,INO,25.0797,2020-09-18,60,19.0,15.0,4.0,163.0,237.0,17.37,67.077,68.776,0.327,0.405,23.981,15.252
33,INO,25.0797,2020-09-18,60,19.0,17.0,2.0,75.0,125.0,18.25,27.038,60.0,0.327,0.405,23.981,19.577
34,INO,25.0797,2020-09-18,60,20.0,15.0,5.0,223.0,277.0,17.77,92.094,80.505,0.274,0.338,26.181,15.252
35,INO,25.0797,2020-09-18,60,20.0,17.0,3.0,135.0,165.0,18.65,56.456,81.818,0.274,0.338,26.181,19.577
36,INO,25.0797,2020-09-18,60,20.0,18.0,2.0,90.0,110.0,19.1,37.638,81.818,0.274,0.338,26.181,21.776
37,INO,25.0797,2020-09-18,60,20.0,19.0,1.0,40.0,60.0,19.6,13.819,66.667,0.274,0.338,26.181,23.981
38,INO,25.0797,2020-09-18,60,21.0,17.0,4.0,180.0,220.0,19.2,66.542,81.818,0.22,0.272,28.364,19.577
39,INO,25.0797,2020-09-18,60,21.0,18.0,3.0,135.0,165.0,19.65,49.906,81.818,0.22,0.272,28.364,21.776
40,INO,25.0797,2020-09-18,60,21.0,19.0,2.0,85.0,115.0,20.15,28.271,73.913,0.22,0.272,28.364,23.981
41,INO,25.0797,2020-09-18,60,21.0,20.0,1.0,35.0,65.0,20.65,6.635,53.846,0.22,0.272,28.364,26.181
42,JDST,12.65,2020-09-18,60,5.0,1.0,4.0,305.0,95.0,1.95,301.546,321.053,1.106,1.106,0.863,28.805
43,JDST,12.65,2020-09-18,60,5.0,2.0,3.0,280.0,20.0,2.2,277.41,1400.0,1.106,1.106,0.863,50.234
44,JDST,12.65,2020-09-18,60,5.0,3.0,2.0,180.0,20.0,3.2,178.273,900.0,1.106,1.106,0.863,62.796
45,FSLY,84.23,2020-09-18,60,70.0,65.0,5.0,170.0,330.0,68.3,36.703,51.515,0.318,0.384,26.66,22.066
46,PLUG,8.44,2020-08-21,32,7.5,7.0,0.5,17.0,33.0,7.33,2.399,51.515,0.378,0.409,29.202,21.869
47,NIO,12.6438,2020-09-18,60,10.0,9.0,1.0,38.0,62.0,9.62,13.42,61.29,0.328,0.393,24.58,19.214
48,VXX,28.99,2020-08-21,32,26.0,24.0,2.0,74.0,126.0,25.26,17.477,58.73,0.474,0.478,28.262,16.532
49,VXX,28.99,2020-08-21,32,26.0,25.0,1.0,41.0,59.0,25.59,12.738,69.492,0.474,0.478,28.262,22.346
50,VXX,28.99,2020-09-18,60,24.0,22.0,2.0,71.0,129.0,23.29,25.296,55.039,0.461,0.537,22.852,14.675
51,VXX,28.99,2020-09-18,60,24.0,23.0,1.0,35.0,65.0,23.65,12.148,53.846,0.461,0.537,22.852,18.677
52,VXX,28.99,2020-09-18,60,25.0,21.0,4.0,143.0,257.0,23.57,34.532,55.642,0.368,0.429,27.117,10.992
53,VXX,28.99,2020-09-18,60,25.0,22.0,3.0,118.0,182.0,23.82,36.649,64.835,0.368,0.429,27.117,14.675
54,VXX,28.99,2020-09-18,60,25.0,23.0,2.0,82.0,118.0,24.18,27.766,69.492,0.368,0.429,27.117,18.677
55,VXX,28.99,2020-09-18,60,25.0,24.0,1.0,42.0,58.0,24.58,14.883,72.414,0.368,0.429,27.117,22.852
56,VIXY,23.72,2020-09-18,60,20.0,19.0,1.0,35.0,65.0,19.65,8.99,53.846,0.534,0.419,26.01,21.738
57,DVAX,11.705,2020-09-18,60,10.0,7.0,3.0,105.0,195.0,8.95,17.231,53.846,0.249,0.284,29.256,12.351
58,DVAX,11.705,2020-09-18,60,10.0,8.0,2.0,70.0,130.0,9.3,11.488,53.846,0.249,0.284,29.256,17.681
59,CVM,13.11,2020-09-18,60,10.0,5.0,5.0,190.0,310.0,8.1,61.626,61.29,0.216,0.297,25.675,7.967
60,CVM,13.11,2020-09-18,60,10.0,7.5,2.5,85.0,165.0,9.15,20.813,51.515,0.216,0.297,25.675,16.673
61,TZA,19.6504,2020-08-28,39,17.5,16.0,1.5,50.0,100.0,17.0,6.274,50.0,0.369,0.369,29.151,19.26
62,TZA,19.6504,2020-09-18,60,17.0,14.0,3.0,100.0,200.0,16.0,15.333,50.0,0.374,0.374,28.222,12.469
63,TZA,19.6504,2020-09-18,60,17.0,15.0,2.0,70.0,130.0,16.3,13.555,53.846,0.374,0.374,28.222,17.412
64,TZA,19.6504,2020-09-18,60,17.0,16.0,1.0,35.0,65.0,16.65,6.778,53.846,0.374,0.374,28.222,22.744
