,symbol,udl_price,exp,dte,s_strike,l_strike,width,premium,max_loss,be_price,adj_profit,rr_percent,iv_z_score,strad_z_score,s_delta,l_delta
0,NIO,11.09,2020-08-21,34,9.0,8.0,1.0,36.0,64.0,8.64,10.004,56.25,0.35,0.43,25.996,19.043
1,NIO,11.09,2020-09-18,62,9.0,6.0,3.0,106.0,194.0,7.94,26.557,54.639,0.253,0.337,26.481,11.495
2,NKLA,48.84,2020-08-14,27,40.0,35.0,5.0,220.0,280.0,37.8,220.0,78.571,0.472,0.533,-0.0,-0.0
3,NKLA,48.84,2020-08-21,34,40.0,35.0,5.0,250.0,250.0,37.5,191.334,100.0,0.394,0.421,11.733,-0.0
4,NKLA,48.84,2020-08-28,41,40.0,35.0,5.0,240.0,260.0,37.6,212.881,92.308,0.421,0.415,5.424,-0.0
5,NKLA,48.84,2020-09-18,62,30.0,25.0,5.0,170.0,330.0,28.3,107.331,51.515,0.622,0.763,12.534,0.249
6,NKLA,48.84,2020-09-18,62,35.0,30.0,5.0,170.0,330.0,33.3,48.601,51.515,0.457,0.56,24.28,12.534
7,SPCE,24.05,2020-09-18,62,20.0,15.0,5.0,173.0,327.0,18.27,29.472,52.905,0.335,0.381,28.706,12.384
8,SPCE,24.05,2020-09-18,62,20.0,16.0,4.0,140.0,260.0,18.6,25.178,53.846,0.335,0.381,28.706,15.382
9,SPCE,24.05,2020-09-18,62,20.0,17.0,3.0,107.0,193.0,18.93,20.883,55.44,0.335,0.381,28.706,18.595
10,INO,26.97,2020-08-21,34,22.0,18.0,4.0,144.0,256.0,20.56,35.434,56.25,0.311,0.407,27.141,16.523
11,INO,26.97,2020-08-21,34,22.0,20.0,2.0,70.0,130.0,21.3,15.717,53.846,0.311,0.407,27.141,21.75
12,INO,26.97,2020-08-21,34,23.0,18.0,5.0,189.0,311.0,21.11,39.786,60.772,0.249,0.325,29.843,16.523
13,INO,26.97,2020-08-21,34,23.0,19.0,4.0,136.0,264.0,21.64,16.629,51.515,0.249,0.325,29.843,19.102
14,INO,26.97,2020-08-21,34,23.0,20.0,3.0,115.0,185.0,21.85,25.472,62.162,0.249,0.325,29.843,21.75
15,INO,26.97,2020-09-18,62,20.0,15.0,5.0,173.0,327.0,18.27,55.31,52.905,0.354,0.354,23.538,13.196
16,INO,26.97,2020-09-18,62,22.0,17.0,5.0,174.0,326.0,20.26,35.421,53.374,0.253,0.253,27.716,17.268
17,INO,26.97,2020-09-18,62,22.0,18.0,4.0,140.0,260.0,20.6,29.137,53.846,0.253,0.253,27.716,19.35
18,INO,26.97,2020-09-18,62,23.0,18.0,5.0,200.0,300.0,21.0,51.121,66.667,0.202,0.202,29.776,19.35
19,INO,26.97,2020-09-18,62,23.0,20.0,3.0,120.0,180.0,21.8,30.673,66.667,0.202,0.202,29.776,23.538
20,WKHS,14.93,2020-08-14,27,12.5,11.5,1.0,35.0,65.0,12.15,7.569,53.846,0.346,0.426,27.431,21.783
21,WKHS,14.93,2020-08-21,34,12.5,11.0,1.5,55.0,95.0,11.95,13.131,57.895,0.281,0.374,27.913,20.251
22,SRNE,6.97,2020-09-18,62,5.0,3.0,2.0,70.0,130.0,4.3,23.869,53.846,0.4,0.442,23.065,5.155
23,SRNE,6.97,2020-09-18,62,5.0,3.5,1.5,55.0,95.0,4.45,20.402,57.895,0.4,0.442,23.065,9.397
24,SRNE,6.97,2020-09-18,62,5.0,4.0,1.0,35.0,65.0,4.65,11.935,53.846,0.4,0.442,23.065,13.91
25,SRNE,6.97,2020-09-18,62,5.0,4.5,0.5,20.0,30.0,4.8,8.467,66.667,0.4,0.442,23.065,18.516
26,SRNE,6.97,2020-09-18,62,5.5,3.0,2.5,90.0,160.0,4.6,21.404,56.25,0.298,0.33,27.438,5.155
27,SRNE,6.97,2020-09-18,62,5.5,3.5,2.0,75.0,125.0,4.75,20.123,60.0,0.298,0.33,27.438,9.397
28,SRNE,6.97,2020-09-18,62,5.5,4.0,1.5,55.0,95.0,4.95,13.842,57.895,0.298,0.33,27.438,13.91
29,SRNE,6.97,2020-09-18,62,5.5,4.5,1.0,40.0,60.0,5.1,12.562,66.667,0.298,0.33,27.438,18.516
30,TZA,19.33,2020-09-18,62,16.0,15.0,1.0,35.0,65.0,15.65,9.603,53.846,0.458,0.458,25.397,19.925
31,NIO,11.09,2020-08-21,34,9.0,8.0,1.0,36.0,64.0,8.64,10.004,56.25,0.35,0.43,25.996,19.043
32,NIO,11.09,2020-09-18,62,9.0,6.0,3.0,106.0,194.0,7.94,26.557,54.639,0.253,0.337,26.481,11.495
