,symbol,udl_price,exp,dte,s_strike,l_strike,width,premium,max_loss,be_price,adj_profit,rr_percent,iv_z_score,strad_z_score,s_delta,l_delta
0,NIO,12.4774,2020-08-21,29,10.5,9.0,1.5,53.0,97.0,9.97,10.505,54.639,0.335,0.415,28.33,18.255
1,SPCE,27.394,2020-08-21,29,23.0,21.0,2.0,67.0,133.0,22.33,13.981,50.376,0.463,0.517,26.509,18.414
2,SPCE,27.394,2020-08-21,29,23.0,22.0,1.0,36.0,64.0,22.64,9.491,56.25,0.463,0.517,26.509,22.369
3,SPCE,27.394,2020-08-21,29,23.5,21.0,2.5,84.0,166.0,22.66,12.497,50.602,0.411,0.458,28.601,18.414
4,SPCE,27.394,2020-08-21,29,23.5,22.0,1.5,53.0,97.0,22.97,10.098,54.639,0.411,0.458,28.601,22.369
5,SPCE,27.394,2020-08-28,36,23.5,20.0,3.5,120.0,230.0,22.3,15.179,52.174,0.461,0.461,29.949,16.648
6,SPCE,27.394,2020-08-28,36,23.5,22.0,1.5,50.0,100.0,23.0,5.077,50.0,0.461,0.461,29.949,24.09
7,SPCE,27.394,2020-09-18,57,22.0,18.0,4.0,136.0,264.0,20.64,33.765,51.515,0.444,0.429,25.559,12.944
8,SPCE,27.394,2020-09-18,57,22.0,19.0,3.0,109.0,191.0,20.91,32.324,57.068,0.444,0.429,25.559,15.938
9,SPCE,27.394,2020-09-18,57,22.0,20.0,2.0,75.0,125.0,21.25,23.883,60.0,0.444,0.429,25.559,19.072
10,SPCE,27.394,2020-09-18,57,22.0,21.0,1.0,36.0,64.0,21.64,10.441,56.25,0.444,0.429,25.559,22.299
11,SPCE,27.394,2020-09-18,57,23.0,18.0,5.0,178.0,322.0,21.22,33.91,55.28,0.361,0.35,28.818,12.944
12,SPCE,27.394,2020-09-18,57,23.0,19.0,4.0,151.0,249.0,21.49,35.728,60.643,0.361,0.35,28.818,15.938
13,SPCE,27.394,2020-09-18,57,23.0,20.0,3.0,117.0,183.0,21.83,30.546,63.934,0.361,0.35,28.818,19.072
14,SPCE,27.394,2020-09-18,57,23.0,21.0,2.0,78.0,122.0,22.22,20.364,63.934,0.361,0.35,28.818,22.299
15,INO,25.8698,2020-08-21,29,22.0,17.0,5.0,180.0,320.0,20.2,36.676,56.25,0.261,0.344,28.665,14.891
16,INO,25.8698,2020-08-21,29,22.0,18.0,4.0,148.0,252.0,20.52,33.341,58.73,0.261,0.344,28.665,17.383
17,INO,25.8698,2020-08-21,29,22.0,19.0,3.0,107.0,193.0,20.93,21.006,55.44,0.261,0.344,28.665,20.042
18,INO,25.8698,2020-08-21,29,22.0,20.0,2.0,71.0,129.0,21.29,13.671,55.039,0.261,0.344,28.665,22.83
19,INO,25.8698,2020-09-18,57,20.0,15.0,5.0,172.0,328.0,18.28,49.276,52.439,0.309,0.383,24.545,13.911
20,INO,25.8698,2020-09-18,57,21.0,17.0,4.0,140.0,260.0,19.6,33.294,53.846,0.256,0.318,26.676,18.109
21,INO,25.8698,2020-09-18,57,21.0,18.0,3.0,120.0,180.0,19.8,39.971,66.667,0.256,0.318,26.676,20.247
22,INO,25.8698,2020-09-18,57,21.0,19.0,2.0,70.0,130.0,20.3,16.647,53.846,0.256,0.318,26.676,22.4
23,INO,25.8698,2020-09-18,57,22.0,18.0,4.0,140.0,260.0,20.6,24.853,53.846,0.204,0.253,28.787,20.247
24,SRNE,8.15,2020-08-21,29,7.0,6.0,1.0,35.0,65.0,6.65,6.671,53.846,0.334,0.345,28.329,16.818
25,SRNE,8.15,2020-09-18,57,6.0,4.5,1.5,50.0,100.0,5.5,15.427,50.0,0.383,0.427,23.049,11.654
26,SRNE,8.15,2020-09-18,57,6.0,5.0,1.0,35.0,65.0,5.65,11.951,53.846,0.383,0.427,23.049,15.441
27,UVXY,25.3587,2020-08-21,29,21.0,19.0,2.0,69.0,131.0,20.31,21.345,52.672,0.46,0.528,23.828,16.575
28,UVXY,25.3587,2020-08-21,29,21.0,20.0,1.0,38.0,62.0,20.62,14.172,61.29,0.46,0.528,23.828,19.821
29,UVXY,25.3587,2020-08-21,29,22.0,19.0,3.0,111.0,189.0,20.89,26.475,58.73,0.355,0.407,28.175,16.575
30,UVXY,25.3587,2020-08-21,29,22.0,20.0,2.0,80.0,120.0,21.2,23.65,66.667,0.355,0.407,28.175,19.821
31,UVXY,25.3587,2020-08-21,29,22.0,21.0,1.0,38.0,62.0,21.62,9.825,61.29,0.355,0.407,28.175,23.828
32,UVXY,25.3587,2020-09-18,57,21.0,16.0,5.0,183.0,317.0,19.17,47.947,57.729,0.348,0.371,27.011,12.653
33,UVXY,25.3587,2020-09-18,57,21.0,18.0,3.0,103.0,197.0,19.97,21.968,52.284,0.348,0.371,27.011,18.236
34,UVXY,25.3587,2020-09-18,57,21.0,20.0,1.0,40.0,60.0,20.6,12.989,66.667,0.348,0.371,27.011,24.101
35,UVXY,25.3587,2020-09-18,57,22.0,18.0,4.0,158.0,242.0,20.42,38.684,65.289,0.268,0.286,29.829,18.236
36,UVXY,25.3587,2020-09-18,57,22.0,19.0,3.0,107.0,193.0,20.93,17.513,55.44,0.268,0.286,29.829,21.174
37,UVXY,25.3587,2020-09-18,57,22.0,20.0,2.0,95.0,105.0,21.05,35.342,90.476,0.268,0.286,29.829,24.101
38,UVXY,25.3587,2020-09-18,57,22.0,21.0,1.0,35.0,65.0,21.65,5.171,53.846,0.268,0.286,29.829,27.011
39,TZA,18.43,2020-09-18,57,16.0,14.0,2.0,75.0,125.0,15.25,19.937,60.0,0.399,0.386,27.531,15.255
40,TZA,18.43,2020-09-18,57,16.0,15.0,1.0,35.0,65.0,15.65,7.469,53.846,0.399,0.386,27.531,21.145
41,GUSH,33.92,2020-09-18,57,5.0,1.0,4.0,325.0,75.0,1.75,325.0,433.333,2.41,2.41,-0.0,49.794
42,GUSH,33.92,2020-09-18,57,5.0,2.0,3.0,175.0,125.0,3.25,175.0,140.0,2.41,2.41,-0.0,71.334
