,symbol,udl_price,exp,dte,s_strike,l_strike,width,premium,max_loss,be_price,adj_profit,rr_percent,iv_z_score,strad_z_score,s_delta,l_delta
0,NIO,12.94,2020-08-21,36,11.0,10.0,1.0,36.0,64.0,10.64,7.891,56.25,0.262,0.363,28.109,22.33
1,NKLA,52.53,2020-08-07,22,40.0,35.0,5.0,210.0,290.0,37.9,139.713,72.414,0.676,0.695,14.058,-0.0
2,NKLA,52.53,2020-08-07,22,45.0,40.0,5.0,290.0,210.0,42.1,147.518,138.095,0.406,0.417,28.496,14.058
3,NKLA,52.53,2020-08-07,22,45.0,41.0,4.0,170.0,230.0,43.3,56.015,73.913,0.406,0.417,28.496,17.985
4,NKLA,52.53,2020-08-07,22,45.0,42.0,3.0,160.0,140.0,43.4,74.511,114.286,0.406,0.417,28.496,22.279
5,NKLA,52.53,2020-08-07,22,45.0,43.0,2.0,120.0,80.0,43.8,63.007,150.0,0.406,0.417,28.496,25.261
6,NKLA,52.53,2020-08-07,22,46.0,42.0,4.0,150.0,250.0,44.5,33.716,60.0,0.352,0.362,29.071,22.279
7,NKLA,52.53,2020-08-07,22,46.0,43.0,3.0,110.0,190.0,44.9,22.787,57.895,0.352,0.362,29.071,25.261
8,NKLA,52.53,2020-08-14,29,44.0,40.0,4.0,180.0,220.0,42.2,121.392,81.818,0.39,0.39,14.652,-0.0
9,NKLA,52.53,2020-08-14,29,44.0,41.0,3.0,110.0,190.0,42.9,66.044,57.895,0.39,0.39,14.652,0.067
10,NKLA,52.53,2020-08-14,29,45.0,40.0,5.0,260.0,240.0,42.4,155.497,108.333,0.344,0.345,20.901,-0.0
11,NKLA,52.53,2020-08-14,29,45.0,41.0,4.0,190.0,210.0,43.1,106.397,90.476,0.344,0.345,20.901,0.067
12,NKLA,52.53,2020-08-14,29,46.0,41.0,5.0,250.0,250.0,43.5,115.745,100.0,0.299,0.299,26.851,0.067
13,NKLA,52.53,2020-08-21,36,40.0,35.0,5.0,250.0,250.0,37.5,188.439,100.0,0.446,0.52,12.312,0.127
14,NKLA,52.53,2020-08-21,36,45.0,40.0,5.0,290.0,210.0,42.1,142.692,138.095,0.268,0.312,29.462,12.312
15,SPCE,21.07,2020-08-21,36,18.0,14.0,4.0,135.0,265.0,16.65,17.379,50.943,0.347,0.393,29.405,12.44
16,SPCE,21.07,2020-08-21,36,18.0,15.0,3.0,112.0,188.0,16.88,23.784,59.574,0.347,0.393,29.405,16.256
17,SPCE,21.07,2020-08-21,36,18.0,16.0,2.0,75.0,125.0,17.25,16.19,60.0,0.347,0.393,29.405,20.439
18,INO,24.57,2020-08-21,36,20.0,15.0,5.0,180.0,320.0,18.2,41.226,56.25,0.317,0.406,27.755,13.254
19,INO,24.57,2020-08-21,36,20.0,16.0,4.0,149.0,251.0,18.51,37.981,59.363,0.317,0.406,27.755,15.959
20,INO,24.57,2020-08-21,36,20.0,17.0,3.0,114.0,186.0,18.86,30.736,61.29,0.317,0.406,27.755,18.795
21,INO,24.57,2020-08-21,36,20.0,18.0,2.0,75.0,125.0,19.25,19.491,60.0,0.317,0.406,27.755,21.733
22,VXX,31.76,2020-08-28,43,28.0,26.0,2.0,72.0,128.0,27.28,13.988,56.25,0.399,0.454,29.006,21.055
23,VXX,31.76,2020-08-28,43,28.0,27.0,1.0,36.0,64.0,27.64,6.994,56.25,0.399,0.454,29.006,25.002
24,TZA,19.54,2020-08-21,36,17.0,16.0,1.0,35.0,65.0,16.65,7.625,53.846,0.486,0.427,27.375,21.155
25,TZA,19.54,2020-08-28,43,17.0,15.0,2.0,70.0,130.0,16.3,13.618,53.846,0.379,0.379,28.191,16.811
26,NIO,12.94,2020-08-21,36,11.0,10.0,1.0,36.0,64.0,10.64,7.891,56.25,0.262,0.363,28.109,22.33
