,symbol,udl_price,exp,dte,s_strike,l_strike,width,premium,max_loss,be_price,adj_profit,rr_percent,iv_z_score,strad_z_score,s_delta,l_delta
0,AAL,12.3,2020-08-21,35,11.0,10.0,1.0,35.0,65.0,10.65,5.911,53.846,0.281,0.336,29.089,20.815
1,NIO,11.425,2020-08-21,35,10.0,8.0,2.0,72.0,128.0,9.28,12.057,56.25,0.22,0.29,29.972,17.313
2,NIO,11.425,2020-08-21,35,10.0,9.0,1.0,39.0,61.0,9.61,9.028,63.934,0.22,0.29,29.972,23.213
3,NIO,11.425,2020-08-28,42,10.0,8.0,2.0,67.0,133.0,9.33,7.809,50.376,0.3,0.282,29.596,18.302
4,NKLA,51.64,2020-08-14,28,40.0,35.0,5.0,170.0,330.0,38.3,170.0,51.515,0.564,0.612,-0.0,-0.0
5,NKLA,51.64,2020-08-14,28,44.0,40.0,4.0,150.0,250.0,42.5,91.664,60.0,0.37,0.401,14.584,-0.0
6,NKLA,51.64,2020-08-14,28,45.0,40.0,5.0,210.0,290.0,42.9,103.212,72.414,0.322,0.349,21.358,-0.0
7,NKLA,51.64,2020-08-14,28,46.0,41.0,5.0,210.0,290.0,43.9,72.927,72.414,0.273,0.296,27.415,-0.0
8,NKLA,51.64,2020-08-21,35,40.0,35.0,5.0,240.0,260.0,37.6,228.446,92.308,0.47,0.486,2.311,-0.0
9,NKLA,51.64,2020-08-21,35,45.0,40.0,5.0,330.0,170.0,41.7,193.93,194.118,0.268,0.277,27.214,2.311
10,SPCE,23.07,2020-08-21,35,18.0,17.0,1.0,34.0,66.0,17.66,11.825,51.515,0.534,0.517,22.175,18.158
11,SPCE,23.07,2020-08-21,35,19.0,15.0,4.0,137.0,263.0,17.63,31.781,52.091,0.429,0.415,26.305,10.828
12,SPCE,23.07,2020-08-21,35,19.0,16.0,3.0,109.0,191.0,17.91,30.086,57.068,0.429,0.415,26.305,14.337
13,SPCE,23.07,2020-08-21,35,19.0,17.0,2.0,78.0,122.0,18.22,25.39,63.934,0.429,0.415,26.305,18.158
14,SPCE,23.07,2020-08-21,35,19.0,18.0,1.0,36.0,64.0,18.64,9.695,56.25,0.429,0.415,26.305,22.175
15,INO,26.18,2020-08-21,35,21.0,17.0,4.0,135.0,265.0,19.65,25.096,50.943,0.343,0.447,27.476,16.343
16,VXX,31.46,2020-08-21,35,28.0,25.0,3.0,107.0,193.0,26.93,20.834,55.44,0.456,0.438,28.722,15.32
17,VXX,31.46,2020-08-21,35,28.0,26.0,2.0,77.0,123.0,27.23,19.556,62.602,0.456,0.438,28.722,19.538
18,VXX,31.46,2020-08-21,35,28.0,27.0,1.0,40.0,60.0,27.6,11.278,66.667,0.456,0.438,28.722,24.016
19,VXX,31.46,2020-08-28,42,27.0,26.0,1.0,35.0,65.0,26.65,8.801,53.846,0.481,0.469,26.199,22.145
20,VXX,31.46,2020-08-28,42,27.5,26.0,1.5,57.0,93.0,26.93,14.618,61.29,0.427,0.416,28.255,22.145
21,UVXY,29.06,2020-08-21,35,24.0,20.0,4.0,136.0,264.0,22.64,34.947,51.515,0.441,0.46,25.263,12.316
22,UVXY,29.06,2020-08-21,35,24.0,21.0,3.0,109.0,191.0,22.91,33.21,57.068,0.441,0.46,25.263,15.082
23,UVXY,29.06,2020-08-21,35,24.0,22.0,2.0,71.0,129.0,23.29,20.473,55.039,0.441,0.46,25.263,18.352
24,UVXY,29.06,2020-08-21,35,25.0,20.0,5.0,186.0,314.0,23.14,42.861,59.236,0.354,0.369,28.628,12.316
25,UVXY,29.06,2020-08-21,35,25.0,21.0,4.0,159.0,241.0,23.41,44.489,65.975,0.354,0.369,28.628,15.082
26,UVXY,29.06,2020-08-21,35,25.0,22.0,3.0,121.0,179.0,23.79,35.117,67.598,0.354,0.369,28.628,18.352
27,UVXY,29.06,2020-08-21,35,25.0,23.0,2.0,78.0,122.0,24.22,20.744,63.934,0.354,0.369,28.628,21.792
28,UVXY,29.06,2020-08-21,35,25.0,24.0,1.0,37.0,63.0,24.63,8.372,58.73,0.354,0.369,28.628,25.263
29,NIO,11.4475,2020-08-21,35,10.0,8.0,2.0,70.0,130.0,9.3,10.057,53.846,0.223,0.293,29.972,17.313
30,NIO,11.4475,2020-08-21,35,10.0,9.0,1.0,38.0,62.0,9.62,8.028,61.29,0.223,0.293,29.972,23.213
31,NIO,11.4475,2020-08-28,42,10.0,8.0,2.0,67.0,133.0,9.33,7.809,50.376,0.304,0.286,29.596,18.302
