,symbol,udl_price,exp,dte,s_strike,l_strike,width,premium,max_loss,be_price,adj_profit,rr_percent,iv_z_score,strad_z_score,s_delta,l_delta
0,NIO,11.35,2020-08-21,25,10.0,9.0,1.0,34.0,66.0,9.66,6.638,51.515,0.297,0.404,27.362,19.288
1,NIO,11.35,2020-09-04,39,10.0,7.5,2.5,84.0,166.0,9.16,12.642,50.602,0.26,0.308,28.543,11.945
2,NIO,11.35,2020-09-04,39,10.0,8.5,1.5,51.0,99.0,9.49,8.185,51.515,0.26,0.308,28.543,17.766
3,NIO,11.35,2020-09-18,53,10.0,9.0,1.0,43.0,57.0,9.57,13.89,75.439,0.21,0.264,29.11,22.846
4,NKLA,32.8999,2020-09-18,53,30.0,25.0,5.0,180.0,320.0,28.2,60.003,56.25,0.15,0.191,24.0,14.777
5,SPCE,23.86,2020-08-21,25,21.0,18.5,2.5,84.0,166.0,20.16,20.044,50.602,0.369,0.465,25.582,14.622
6,SPCE,23.86,2020-08-21,25,21.0,19.0,2.0,71.0,129.0,20.29,19.835,55.039,0.369,0.465,25.582,16.624
7,SPCE,23.86,2020-08-21,25,21.0,19.5,1.5,54.0,96.0,20.46,15.626,56.25,0.369,0.465,25.582,18.741
8,SPCE,23.86,2020-08-21,25,21.5,18.0,3.5,119.0,231.0,20.31,21.019,51.515,0.305,0.384,27.994,12.767
9,SPCE,23.86,2020-08-21,25,21.5,18.5,3.0,105.0,195.0,20.45,21.017,53.846,0.305,0.384,27.994,14.622
10,SPCE,23.86,2020-08-21,25,21.5,19.0,2.5,92.0,158.0,20.58,22.014,58.228,0.305,0.384,27.994,16.624
11,SPCE,23.86,2020-08-21,25,21.5,19.5,2.0,75.0,125.0,20.75,19.011,60.0,0.305,0.384,27.994,18.741
12,SPCE,23.86,2020-08-21,25,21.5,20.0,1.5,54.0,96.0,20.96,12.008,56.25,0.305,0.384,27.994,20.944
13,SPCE,23.86,2020-09-18,53,19.0,18.0,1.0,34.0,66.0,18.66,13.056,51.515,0.515,0.565,20.944,17.364
14,SPCE,23.86,2020-09-18,53,20.0,16.0,4.0,134.0,266.0,18.66,35.427,50.376,0.409,0.449,24.643,10.837
15,SPCE,23.86,2020-09-18,53,20.0,17.0,3.0,108.0,192.0,18.92,34.07,56.25,0.409,0.449,24.643,13.948
16,SPCE,23.86,2020-09-18,53,20.0,18.0,2.0,76.0,124.0,19.24,26.713,61.29,0.409,0.449,24.643,17.364
17,SPCE,23.86,2020-09-18,53,20.0,19.0,1.0,38.0,62.0,19.62,13.357,61.29,0.409,0.449,24.643,20.944
18,SPCE,23.86,2020-09-18,53,21.0,16.0,5.0,183.0,317.0,19.17,41.05,57.729,0.303,0.333,28.39,10.837
19,SPCE,23.86,2020-09-18,53,21.0,17.0,4.0,157.0,243.0,19.43,43.44,64.609,0.303,0.333,28.39,13.948
20,SPCE,23.86,2020-09-18,53,21.0,18.0,3.0,125.0,175.0,19.75,39.83,71.429,0.303,0.333,28.39,17.364
21,SPCE,23.86,2020-09-18,53,21.0,19.0,2.0,87.0,113.0,20.13,30.22,76.991,0.303,0.333,28.39,20.944
22,SPCE,23.86,2020-09-18,53,21.0,20.0,1.0,42.0,58.0,20.58,13.61,72.414,0.303,0.333,28.39,24.643
23,INO,20.62,2020-08-21,25,18.0,14.0,4.0,142.0,258.0,16.58,41.591,55.039,0.238,0.309,25.102,12.17
24,INO,20.62,2020-08-21,25,18.0,15.0,3.0,107.0,193.0,16.93,31.693,55.44,0.238,0.309,25.102,14.962
25,INO,20.62,2020-08-21,25,18.0,16.0,2.0,75.0,125.0,17.25,24.796,60.0,0.238,0.309,25.102,18.085
26,INO,20.62,2020-08-21,25,18.0,17.0,1.0,37.0,63.0,17.63,11.898,58.73,0.238,0.309,25.102,21.496
27,INO,20.62,2020-08-21,25,19.0,14.0,5.0,190.0,310.0,17.1,45.825,61.29,0.147,0.191,28.835,12.17
28,INO,20.62,2020-08-21,25,19.0,15.0,4.0,155.0,245.0,17.45,39.66,63.265,0.147,0.191,28.835,14.962
29,INO,20.62,2020-08-21,25,19.0,16.0,3.0,123.0,177.0,17.77,36.495,69.492,0.147,0.191,28.835,18.085
30,INO,20.62,2020-08-21,25,19.0,17.0,2.0,85.0,115.0,18.15,27.33,73.913,0.147,0.191,28.835,21.496
31,INO,20.62,2020-09-04,39,19.0,15.0,4.0,145.0,255.0,17.55,28.817,56.863,0.13,0.13,29.046,17.19
32,INO,20.62,2020-09-18,53,17.0,15.0,2.0,74.0,126.0,16.26,26.268,58.73,0.25,0.297,23.866,18.741
33,INO,20.62,2020-09-18,53,18.0,15.0,3.0,129.0,171.0,16.71,49.61,75.439,0.181,0.215,26.463,18.741
34,INO,20.62,2020-09-18,53,18.0,16.0,2.0,80.0,120.0,17.2,27.074,66.667,0.181,0.215,26.463,21.284
35,INO,20.62,2020-09-18,53,18.0,17.0,1.0,40.0,60.0,17.6,13.537,66.667,0.181,0.215,26.463,23.866
36,INO,20.62,2020-09-18,53,19.0,15.0,4.0,184.0,216.0,17.16,67.791,85.185,0.112,0.133,29.052,18.741
37,INO,20.62,2020-09-18,53,19.0,16.0,3.0,135.0,165.0,17.65,47.843,81.818,0.112,0.133,29.052,21.284
38,INO,20.62,2020-09-18,53,19.0,17.0,2.0,95.0,105.0,18.05,36.895,90.476,0.112,0.133,29.052,23.866
39,SRNE,7.4914,2020-09-18,53,6.0,3.5,2.5,85.0,165.0,5.15,19.043,51.515,0.297,0.334,26.383,6.594
40,SRNE,7.4914,2020-09-18,53,6.0,4.0,2.0,75.0,125.0,5.25,22.234,60.0,0.297,0.334,26.383,9.755
41,SRNE,7.4914,2020-09-18,53,6.0,4.5,1.5,60.0,90.0,5.4,20.426,66.667,0.297,0.334,26.383,13.584
42,SRNE,7.4914,2020-09-18,53,6.0,5.0,1.0,35.0,65.0,5.65,8.617,53.846,0.297,0.334,26.383,17.799
43,UVXY,27.09,2020-08-21,25,23.0,20.0,3.0,103.0,197.0,21.97,17.145,52.284,0.478,0.496,28.618,15.557
44,UVXY,27.09,2020-08-21,25,23.0,21.0,2.0,74.0,126.0,22.26,16.764,58.73,0.478,0.496,28.618,19.634
45,UVXY,27.09,2020-08-21,25,23.0,22.0,1.0,43.0,57.0,22.57,14.382,75.439,0.478,0.496,28.618,24.065
46,UVXY,27.09,2020-09-18,53,21.0,20.0,1.0,36.0,64.0,20.64,11.201,56.25,0.449,0.483,24.799,21.963
47,UVXY,27.09,2020-09-18,53,22.0,20.0,2.0,72.0,128.0,21.28,16.703,56.25,0.375,0.404,27.649,21.963
48,FSLY,77.845,2020-09-18,53,70.0,65.0,5.0,180.0,320.0,68.2,34.39,56.25,0.228,0.3,29.122,23.274
49,SLV,22.5499,2020-09-18,53,21.0,20.0,1.0,36.0,64.0,20.64,6.195,56.25,0.369,0.404,29.805,21.508
50,SLV,22.5499,2020-09-18,53,21.0,20.5,0.5,19.0,31.0,20.81,4.098,61.29,0.369,0.404,29.805,25.449
51,GUSH,32.94,2020-09-18,53,5.0,1.0,4.0,350.0,50.0,1.5,349.998,700.0,2.524,2.524,0.0,49.794
52,GUSH,32.94,2020-09-18,53,5.0,2.0,3.0,235.0,65.0,2.65,234.999,361.538,2.524,2.524,0.0,71.334
53,GUSH,32.94,2020-09-18,53,10.0,5.0,5.0,230.0,270.0,7.7,229.191,85.185,2.072,2.072,0.162,0.0
