,symbol,udl_price,exp,dte,s_strike,l_strike,width,premium,max_loss,be_price,adj_profit,rr_percent,iv_z_score,strad_z_score,s_delta,l_delta
0,SPCE,22.74,2020-08-21,22,19.5,18.0,1.5,38.0,112.0,19.12,2.135,33.929,0.571,0.663,23.91,14.606
1,SPCE,22.74,2020-08-21,22,19.5,18.5,1.0,25.0,75.0,19.25,1.09,33.333,0.571,0.663,23.91,17.501
2,SPCE,22.74,2020-08-21,22,20.0,18.0,2.0,56.0,144.0,19.44,1.326,38.889,0.482,0.56,27.337,14.606
3,SPCE,22.74,2020-08-21,22,20.0,18.5,1.5,43.0,107.0,19.57,1.995,40.187,0.482,0.56,27.337,17.501
4,SPCE,22.74,2020-08-21,22,20.0,19.0,1.0,29.0,71.0,19.71,1.663,40.845,0.482,0.56,27.337,20.619
5,SPCE,22.74,2020-08-21,22,20.0,19.5,0.5,14.0,36.0,19.86,0.332,38.889,0.482,0.56,27.337,23.91
6,SPCE,22.74,2020-09-18,50,18.0,15.0,3.0,79.0,221.0,17.21,12.559,35.747,0.553,0.635,22.147,9.855
7,SPCE,22.74,2020-09-18,50,18.0,16.0,2.0,57.0,143.0,17.43,12.706,39.86,0.553,0.635,22.147,13.603
8,SPCE,22.74,2020-09-18,50,18.0,17.0,1.0,29.0,71.0,17.71,6.853,40.845,0.553,0.635,22.147,17.726
9,SPCE,22.74,2020-09-18,50,19.0,14.0,5.0,138.0,362.0,17.62,4.043,38.122,0.436,0.501,26.791,6.59
10,SPCE,22.74,2020-09-18,50,19.0,15.0,4.0,120.0,280.0,17.8,12.835,42.857,0.436,0.501,26.791,9.855
11,SPCE,22.74,2020-09-18,50,19.0,16.0,3.0,98.0,202.0,18.02,17.626,48.515,0.436,0.501,26.791,13.603
12,SPCE,22.74,2020-09-18,50,19.0,17.0,2.0,70.0,130.0,18.3,16.417,53.846,0.436,0.501,26.791,17.726
13,SPCE,22.74,2020-09-18,50,19.0,18.0,1.0,38.0,62.0,18.62,11.209,61.29,0.436,0.501,26.791,22.147
14,INO,20.6599,2020-09-18,50,14.0,10.0,4.0,108.0,292.0,12.92,32.755,36.986,0.491,0.597,18.811,8.267
15,INO,20.6599,2020-09-18,50,15.0,10.0,5.0,151.0,349.0,13.49,42.231,43.266,0.417,0.508,21.754,8.267
16,INO,20.6599,2020-09-18,50,15.0,13.0,2.0,63.0,137.0,14.37,19.492,45.985,0.417,0.508,21.754,15.952
17,INO,20.6599,2020-09-18,50,16.0,13.0,3.0,106.0,194.0,14.94,31.751,54.639,0.343,0.418,24.75,15.952
18,INO,20.6599,2020-09-18,50,16.0,14.0,2.0,67.0,133.0,15.33,17.501,50.376,0.343,0.418,24.75,18.811
19,INO,20.6599,2020-09-18,50,16.0,15.0,1.0,30.0,70.0,15.7,5.25,42.857,0.343,0.418,24.75,21.754
20,INO,20.6599,2020-09-18,50,17.0,13.0,4.0,154.0,246.0,15.46,42.938,62.602,0.27,0.328,27.766,15.952
21,INO,20.6599,2020-09-18,50,17.0,14.0,3.0,115.0,185.0,15.85,31.703,62.162,0.27,0.328,27.766,18.811
22,INO,20.6599,2020-09-18,50,17.0,15.0,2.0,78.0,122.0,16.22,22.469,63.934,0.27,0.328,27.766,21.754
23,INO,20.6599,2020-09-18,50,17.0,16.0,1.0,29.0,71.0,16.71,1.234,40.845,0.27,0.328,27.766,24.75
24,SRNE,8.2758,2020-08-21,22,7.0,6.0,1.0,30.0,70.0,6.7,1.948,42.857,0.37,0.387,28.052,15.783
25,SRNE,8.2758,2020-09-18,50,5.5,4.5,1.0,25.0,75.0,5.25,6.334,33.333,0.511,0.519,18.666,11.101
26,SRNE,8.2758,2020-09-18,50,6.0,3.0,3.0,75.0,225.0,5.25,7.208,33.333,0.419,0.425,22.597,1.534
27,SRNE,8.2758,2020-09-18,50,6.0,3.5,2.5,65.0,185.0,5.35,8.506,35.135,0.419,0.425,22.597,4.397
28,SRNE,8.2758,2020-09-18,50,6.0,4.0,2.0,55.0,145.0,5.45,9.805,37.931,0.419,0.425,22.597,7.596
29,SRNE,8.2758,2020-09-18,50,6.0,4.5,1.5,45.0,105.0,5.55,11.104,42.857,0.419,0.425,22.597,11.101
30,SRNE,8.2758,2020-09-18,50,6.0,5.0,1.0,30.0,70.0,5.7,7.403,42.857,0.419,0.425,22.597,14.809
31,ROKU,153.581,2020-08-21,22,135.0,130.0,5.0,125.0,375.0,133.75,2.729,33.333,0.518,0.66,24.454,19.534
32,ROKU,153.581,2020-08-21,22,140.0,135.0,5.0,150.0,350.0,138.5,0.387,42.857,0.379,0.483,29.923,24.454
33,ROKU,153.581,2020-09-18,50,130.0,125.0,5.0,125.0,375.0,128.75,9.453,33.333,0.524,0.638,23.109,19.246
34,ROKU,153.581,2020-09-18,50,135.0,130.0,5.0,150.0,350.0,133.5,13.089,42.857,0.413,0.503,27.382,23.109
35,FSLY,90.85,2020-09-18,50,75.0,70.0,5.0,140.0,360.0,73.6,11.245,38.889,0.426,0.47,25.751,20.513
36,AGQ,45.3001,2020-09-18,50,38.0,34.0,4.0,105.0,295.0,36.95,3.041,35.593,0.513,0.492,25.49,16.343
37,AGQ,45.3001,2020-09-18,50,39.0,34.0,5.0,160.0,340.0,37.4,20.755,47.059,0.442,0.425,27.849,16.343
38,AGQ,45.3001,2020-09-18,50,39.0,35.0,4.0,130.0,270.0,37.7,18.604,48.148,0.442,0.425,27.849,18.543
39,SLV,21.62,2020-08-21,22,20.0,19.5,0.5,13.0,37.0,19.87,0.396,35.135,0.594,0.625,25.208,19.192
40,SLV,21.62,2020-09-04,36,20.0,19.0,1.0,28.0,72.0,19.72,0.273,38.889,0.489,0.511,27.727,18.106
41,SLV,21.62,2020-09-04,36,20.0,19.5,0.5,15.0,35.0,19.85,1.136,42.857,0.489,0.511,27.727,22.515
42,SLV,21.62,2020-09-11,43,20.0,19.0,1.0,30.0,70.0,19.7,0.514,42.857,0.458,0.485,29.486,19.768
43,SLV,21.62,2020-09-11,43,20.0,19.5,0.5,16.0,34.0,19.84,1.257,47.059,0.458,0.485,29.486,24.419
44,SLV,21.62,2020-09-18,50,19.5,18.5,1.0,26.0,74.0,19.24,2.133,35.135,0.562,0.592,23.867,15.984
