,symbol,udl_price,exp,dte,s_strike,l_strike,width,premium,max_loss,be_price,adj_profit,rr_percent,iv_z_score,strad_z_score,s_delta,l_delta
0,NIO,12.5825,2020-08-21,30,10.5,9.0,1.5,51.0,99.0,9.99,13.631,51.515,0.347,0.437,24.912,15.878
1,NIO,12.5825,2020-08-21,30,10.5,9.5,1.0,34.0,66.0,10.16,9.088,51.515,0.347,0.437,24.912,18.661
2,NIO,12.5825,2020-08-21,30,10.5,10.0,0.5,18.0,32.0,10.32,5.544,56.25,0.347,0.437,24.912,21.687
3,NIO,12.5825,2020-08-21,30,11.0,8.5,2.5,85.0,165.0,10.15,14.262,51.515,0.264,0.332,28.295,13.341
4,NIO,12.5825,2020-08-21,30,11.0,9.0,2.0,72.0,128.0,10.28,15.409,56.25,0.264,0.332,28.295,15.878
5,NIO,12.5825,2020-08-21,30,11.0,9.5,1.5,55.0,95.0,10.45,12.557,57.895,0.264,0.332,28.295,18.661
6,NIO,12.5825,2020-08-21,30,11.0,10.0,1.0,39.0,61.0,10.61,10.705,63.934,0.264,0.332,28.295,21.687
7,NIO,12.5825,2020-08-21,30,11.0,10.5,0.5,20.0,30.0,10.8,5.852,66.667,0.264,0.332,28.295,24.912
8,NIO,12.5825,2020-09-18,58,10.0,9.0,1.0,36.0,64.0,9.64,12.21,56.25,0.301,0.399,23.79,18.865
9,NIO,12.5825,2020-09-18,58,11.0,9.0,2.0,83.0,117.0,10.17,25.185,70.94,0.185,0.245,28.908,18.865
10,NIO,12.5825,2020-09-18,58,11.0,10.0,1.0,41.0,59.0,10.59,12.092,69.492,0.185,0.245,28.908,23.79
11,SPCE,25.0864,2020-09-18,58,20.0,16.0,4.0,135.0,265.0,18.65,32.189,50.943,0.44,0.489,25.703,13.05
12,SPCE,25.0864,2020-09-18,58,20.0,17.0,3.0,107.0,193.0,18.93,29.892,55.44,0.44,0.489,25.703,16.013
13,SPCE,25.0864,2020-09-18,58,20.0,18.0,2.0,73.0,127.0,19.27,21.595,57.48,0.44,0.489,25.703,19.141
14,SPCE,25.0864,2020-09-18,58,20.0,19.0,1.0,37.0,63.0,19.63,11.297,58.73,0.44,0.489,25.703,22.389
15,SPCE,25.0864,2020-09-18,58,21.0,16.0,5.0,180.0,320.0,19.2,34.807,56.25,0.353,0.393,29.039,13.05
16,SPCE,25.0864,2020-09-18,58,21.0,17.0,4.0,152.0,248.0,19.48,35.846,61.29,0.353,0.393,29.039,16.013
17,SPCE,25.0864,2020-09-18,58,21.0,18.0,3.0,118.0,182.0,19.82,30.884,64.835,0.353,0.393,29.039,19.141
18,SPCE,25.0864,2020-09-18,58,21.0,19.0,2.0,82.0,118.0,20.18,23.923,69.492,0.353,0.393,29.039,22.389
19,SPCE,25.0864,2020-09-18,58,21.0,20.0,1.0,39.0,61.0,20.61,9.961,63.934,0.353,0.393,29.039,25.703
20,INO,25.67,2020-08-21,30,20.0,17.0,3.0,102.0,198.0,18.98,39.766,51.515,0.37,0.523,20.745,13.595
21,INO,25.67,2020-08-21,30,21.0,16.0,5.0,170.0,330.0,19.3,53.383,51.515,0.305,0.43,23.323,11.485
22,INO,25.67,2020-08-21,30,21.0,17.0,4.0,149.0,251.0,19.51,55.706,59.363,0.305,0.43,23.323,13.595
23,INO,25.67,2020-08-21,30,21.0,18.0,3.0,108.0,192.0,19.92,38.03,56.25,0.305,0.43,23.323,15.859
